Reference ID,Hymn Number,Title (Myanmar),Title (English),Composer,Category,Scriptures,PDF,PPTX,Verse Count,Lyrics
93,80,"သီချင်းသံကြားရသည်ကျူး","There’s a song in the air","Karl P Harrington","ဖွားမြင်တော်မူခြင်း","N/A","files/hymn-93.pdf","files/hymn-93.pptx",4,"[Verse 1]"
94,81,"ဗက်လင်မြို့သို့ ကြွလာတော်မူကျူး","Jesus my saviour to Bethlehem came","N/A","ဖွားမြင်တော်မူခြင်း","မ၊ ၂း၆","files/hymn-94.pdf","files/hymn-94.pptx",4,"[Verse 1]"
95,82,"ဗက်လင်မြို့ငယ်ကျူး","O Little Town of Bethlehem","N/A","ဖွားမြင်တော်မူခြင်း","မ၊ ၂း၁","files/hymn-95.pdf","files/hymn-95.pptx",3,"[Verse 1]"
96,83,"ထက်ဘုံတော်မှ ကောင်းကင်သားများကျူး","Angels from the realms of glory","Henry Smart (1813-1879)","ဖွားမြင်တော်မူခြင်း","မ၊ ၂း၂","files/hymn-96.pdf","files/hymn-96.pptx",4,"[Verse 1]"
97,84,"ယေရှုရှင်အကြောင်းများကို ပြောပါကျူး","Tell me the stories of Jesus","Frederic A. Challlimor","ခရစ်တော်ချီးမွမ်း","လု၊ ရး၂၂","files/hymn-97.pdf","files/hymn-97.pptx",4,"[Verse 1]"
98,85,"အံ့ဩဖွယ်ယေရှုကျူး","Wonderful Saviour","N/A","ခရစ်တော်ချီးမွမ်း","လု၊ ၂း၄၉","files/hymn-98.pdf","files/hymn-98.pptx",3,"[Verse 1]"
99,86,"အပြစ်များသူ၏ မိတ်ဆွေကျူး","Jesus, Thou art the sinner’s friend","John B. Dykes (1823-1876)","ခရစ်တော်ချီးမွမ်း","လု၊ ၂၃း၄၂","files/hymn-99.pdf","files/hymn-99.pptx",6,"[Verse 1]"
100,87,"ကယ်တင်တော်ကျူး","N/A","John E. Gould (1822-1875)","ခရစ်တော်ချီးမွမ်း","၁ တိ၊ ၁း၁၄-၁၅","files/hymn-100.pdf","files/hymn-100.pptx",4,"[Verse 1]"
101,88,"ကျေးဇူးတော်ကျူး","N/A","N/A","ခရစ်တော်ချီးမွမ်း","လု၊ ၁၉း၉-၁၀","files/hymn-101.pdf","files/hymn-101.pptx",5,"[Verse 1]"
102,89,"ကျေးဇူးတင်ခြင်းကျူး","When all thy mercies, O my God","N/A","ခရစ်တော်ချီးမွမ်း","၁ ယော၊ ၃း၂","files/hymn-102.pdf","files/hymn-102.pptx",6,"[Verse 1]
သနားခြင်း ကျေးဇူးတော်အပေါင်း၊
ကျွန်ုပ်အောက်မေ့သောခါ၊ ချစ်ခင်စိတ်ရှိ
အံ့ဩဖွယ်ရာ ချီးမွမ်းမကုန်နိုင်ပါ။

[Verse 2]
ကြည့်ရှုခြင်း ကျေးဇူးတော်၊ ကျွန်ုပ်ငယ်၍ မသိနိုင်မီ၊
နှစ်သိမ့်စရာ အတိုင်းထက်များ၊ ကိုယ်တော် ပေးနှင့်မူပြီ။

[Verse 3]
ကျွန်ုပ်ပျိုစဉ်၊ ချော်လဲစရာ လမ်း၌များပြားသော်လည်း၊
ရွှေလက်တော်သည် ယခုတိုင်အောင်၊ ဘေးမဲ့ဆောင်ယူလေပြီ။

[Verse 4]
အသိန်းအသန်း ဆုတော်များကို၊ နေ့တိုင်းဆင်ခြင်လေသော်၊
အမြတ်ဆုံးကား သာယာသောစိတ်၊ ကျေးဇူးတင်တတ်သဘော။

[Verse 5]
ကောင်းမြတ်တော်မူခြင်းကို အစဉ် ကျွန်ုပ်လိုက်လံရှာဖွေ၊
ဘဝပြောင်းလျှင် အထက်ဘုံမှာ၊ ဂုဏ်တော်အကြောင်းကျူးအေး။

[Verse 6]
ကမ္ဘာအဆက်ဆက် ကျေးဇူးတော် သီချင်းဆိုနိုင်သော်ကား၊
သီချင်းသော်လည်း ကျူးသင့်အတိုင်း၊ မမီနိုင်ပါဘုရား။ (အာမင်)"
103,90,"ကယ်တင်တော်ကျူး","N/A","N/A","ခရစ်တော်ချီးမွမ်း","ဆာ၊ ၆၈း၁၉-၂၀","files/hymn-103.pdf","files/hymn-103.pptx",4,"[Verse 1]"
104,91,"မြေကြီးပြင်၏ တင့်တယ်ခြင်းကျူး","For the beauty of the earth","N/A","ခရစ်တော်ချီးမွမ်း","ဆာ၊ ၃၃း၁-၅","files/hymn-104.pdf","files/hymn-104.pptx",6,"[Verse 1]"
105,92,"အတုမဲ့ယေရှုကို ချီးမွမ်းကျူး","Majestic Sweetness sits enthroned","Thomas Hastings (1784-1872)","ခရစ်တော်ချီးမွမ်း","ဆာ၊ ၈၉း၅-၈","files/hymn-105.pdf","files/hymn-105.pptx",6,"[Verse 1]"
106,93,"ကယ်တင်ခြင်းရွှင်လန်းဖွယ်ကျူး","Salvation, O the joyful sound","William B. Bradbury (1816-1868)","ခရစ်တော်ချီးမွမ်း","ဆာ၊ ၁၀၃း၁-၄","files/hymn-106.pdf","files/hymn-106.pptx",4,"[Verse 1]"
107,94,"ယဇ်ပုရောဟိတ်မင်းယေရှုကျူး","Christ our High Priest","William B. Bradbury (1816-1868)","ခရစ်တော်ချီးမွမ်း","ဟေ၊ ၄း၁၅-၁၆","files/hymn-107.pdf","files/hymn-107.pptx",3,"[Verse 1]"
108,95,"ကျွန်ုပ်တို့၏ ရှေ့ဆောင်ကြီးကျူး","O Son of Man our Hero","N/A","ခရစ်တော်ချီးမွမ်း","တ၊ ၅း၄၁","files/hymn-108.pdf","files/hymn-108.pptx",2,"[Verse 1]"
109,96,"သမားတော်ကြီးကျူး","The Great Physician","John H. Stokton (1813-1877)","ခရစ်တော်ချီးမွမ်း","မ၊ ၂၈း၂၀","files/hymn-109.pdf","files/hymn-109.pptx",5,"[Verse 1]"
110,97,"အိုမိတ်ဆွေကောင်းသည်ကား ယေရှုတည်းကျူး","The Best Friend to have is Jesus","Peter P. Bichorn (1865-1936)","ခရစ်တော်ချီးမွမ်း","သု၊ ၁၈း၂၄","files/hymn-110.pdf","files/hymn-110.pptx",5,"[Verse 1]"
111,98,"စဉ်မပြတ်ချီးမွမ်းခြင်းကျူး","Praise Him all the time","Georg C. Stebbins","ခရစ်တော်ချီးမွမ်း","ဆာ၊ ၁၂၆း၂","files/hymn-111.pdf","files/hymn-111.pptx",5,"[Verse 1]"
112,99,"ယေရှုကြွေးဆပ်ပြီကျူး","Jesus Paid it all","John T. Grape (1835-1915)","ခရစ်တော်ချီးမွမ်း","တိတု၊ ၂း၁၄","files/hymn-112.pdf","files/hymn-112.pptx",6,"[Verse 1]"
113,100,"အာဒံနှင့်သခင်ယေရှုကျူး","Adam and Christ","William B. Bradbury (1816-1868)","ခရစ်တော်ချီးမွမ်း","၁ ကော၊ ၁၅း၂၂","files/hymn-113.pdf","files/hymn-113.pptx",3,"[Verse 1]"
114,101,"မြတ်လှနာမကျူး","Take the name of Jesus with you","William H. Doane","ခရစ်တော်ချီးမွမ်း","ဆာ၊ ၇၂း၁၉","files/hymn-114.pdf","files/hymn-114.pptx",5,"[Verse 1]"
115,102,"သားတော်မြတ်ဖြစ်ကျူး","Sons we are through God’s election","Thomas Hastings (1784-1872)","ခရစ်တော်ချီးမွမ်း","ရော၊ ၁၁း၇","files/hymn-115.pdf","files/hymn-115.pptx",5,"[Verse 1]"
116,103,"ယေရှုရှင်ကို ချီးမွမ်းမည်ကျူး","My Song shall be of Jesus","N/A","ခရစ်တော်ချီးမွမ်း","ဗျာ၊ ၅း၉-၁၀","files/hymn-116.pdf","files/hymn-116.pptx",3,"[Verse 1]"
117,104,"အသွေးတော်ကျူး","There is a fountain filled with blood","N/A","ခရစ်တော်ချီးမွမ်း","ဇာ၊ ၁၃း၁","files/hymn-117.pdf","files/hymn-117.pptx",7,"[Verse 1]"
118,105,"ယေရှုနာမတော်ကျူး","There is no name so sweet on earth","William B. Bradbury","ခရစ်တော်ချီးမွမ်း","ဧ၊ ၁း၂၁","files/hymn-118.pdf","files/hymn-118.pptx",6,"[Verse 1]"
119,106,"သခင်၏ ကျေးဇူးတော်ကျူး","N/A","N/A","ခရစ်တော်ချီးမွမ်း","Carl G. Glaser","files/hymn-119.pdf","files/hymn-119.pptx",4,"[Verse 1]"
120,107,"သရဖူများတင်ကြကျူး","Crown Him with many Crowns","George J. Elvey","ခရစ်တော်ချီးမွမ်း","ဗျာ၊ ၁၉း၁၁-၁၆","files/hymn-120.pdf","files/hymn-120.pptx",3,"[Verse 1]"
121,108,"အစဉ်ဘို့ တစ်ခါတည်းကျူး","Once for all","Philip P. Bliss (1838-1876)","ခရစ်တော်ချီးမွမ်း","ဧ၊ ၂း၈","files/hymn-121.pdf","files/hymn-121.pptx",4,"[Verse 1]"
122,109,"ယေရှုကို ချီးမြှောက်ကျူး","N/A","N/A","ခရစ်တော်ချီးမွမ်း","ဖိ၊ ၂း၉","files/hymn-122.pdf","files/hymn-122.pptx",5,"[Verse 1]"
123,110,"ချီးမွမ်းကျူး","All hail the power of Jesus’ name","Oliver Holden","ခရစ်တော်ချီးမွမ်း","ဗျာ၊ ၁၉း၁၆","files/hymn-123.pdf","files/hymn-123.pptx",5,"[Verse 1]"
124,111,"တံခါးများတို့ နိုးကြားကျူး","Lift up your heads, Ye mighty gates","N/A","ခရစ်တော်ချီးမွမ်း","ဆာ၊ ၂၄း၇","files/hymn-124.pdf","files/hymn-124.pptx",3,"[Verse 1]"
125,112,"သိုးသငယ်တော်ကျူး","Not all the blood of beasts","Lowell Mason (1792-1872)","ခရစ်တော်ချီးမွမ်း","ဟေ၊ ၉း၁၂","files/hymn-125.pdf","files/hymn-125.pptx",5,"[Verse 1]"
126,113,"ကောင်းဆုံးမိတ်ဆွေကျူး","Jesus is all the world to me","Will L. Thompson (1847-1909)","ခရစ်တော်ချီးမွမ်း","N/A","files/hymn-126.pdf","files/hymn-126.pptx",4,"[Verse 1]"
127,114,"တင့်တယ်လှ ယေရှုသခင်ကျူး","Fairest Lord Jesus","Richard S. Willis (1819-1900)","ခရစ်တော်ချီးမွမ်း","ကော၊ ၂း၆-၇","files/hymn-127.pdf","files/hymn-127.pptx",3,"[Verse 1]"
128,115,"ချီးမြှောက်ကျူး","Oh, could I speak the matchless worth","Lowell Mason (1792-1872)","ခရစ်တော်ချီးမွမ်း","N/A","files/hymn-128.pdf","files/hymn-128.pptx",4,"[Verse 1]"
129,116,"ကိုယ်တော်ကို ချစ်ပါ၏ကျူး","I Love Him","Stephen C. Foster","ခရစ်တော်ချီးမွမ်း","N/A","files/hymn-129.pdf","files/hymn-129.pptx",4,"[Verse 1]"
130,117,"ကားတိုင်လမ်းဖြင့် အိမ်သို့ ရောက်ကျူး","The Way of the Cross Leads Home","Charles H. Gabriel","ခရစ်တော်ချီးမွမ်း","ဟေဗြဲ၊ ၁၂း၂","files/hymn-130.pdf","files/hymn-130.pptx",3,"[Verse 1]"
131,118,"လွှတ်ခြင်းကျေးဇူးကျူး","N/A","John Chetham (1700-1760)","ခရစ်တော်ချီးမွမ်း","ဆာ၊ ၁၀၆း၄၇","files/hymn-131.pdf","files/hymn-131.pptx",4,"[Verse 1]"
132,119,"ယေရှုအသွေးတော်ကျူး","What can wash away my sin?","Robert Lowry (1820-1899)","ကားတိုင်တော်","ယေ၊ ၉း၂၂","files/hymn-132.pdf","files/hymn-132.pptx",5,"[Verse 1]"
133,120,"တိုင်တော်နားမှာကျူး","Near the Cross","William H. Doane","ကားတိုင်တော်","ဧ၊ ၂း၁၃","files/hymn-133.pdf","files/hymn-133.pptx",5,"[Verse 1]"
134,121,"လက်ဝါးကပ်တိုင်တော်အောက်ကျူး","Beneath the Cross of Jesus","Frederick C. Maker (1844-1927)","ကားတိုင်တော်","သု၊ ၁၄း၂၆","files/hymn-134.pdf","files/hymn-134.pptx",4,"[Verse 1]"
135,122,"ယေရှုတိုင်တော်ကျူး","In the Cross of Christ I Glory","Ishamar Conkey (1815-1867)","ကားတိုင်တော်","N/A","files/hymn-135.pdf","files/hymn-135.pptx",4,"[Verse 1]"
136,123,"ကားတိုင်မှာကျူး","At the Cross","Ralph E. Hudson (1843-1901)","ကားတိုင်တော်","၂ တိ၊ ၁း၁၂","files/hymn-136.pdf","files/hymn-136.pptx",5,"[Verse 1]"
137,124,"လက်ဝါးကပ်တိုင်တော်ကြည့်၍ အံ့ဩဖွယ်ရာကျူး","When I survey the wondrous cross","Lowell Mason (1792-1872)","ကားတိုင်တော်","ဖိ။ ၃း၈","files/hymn-137.pdf","files/hymn-137.pptx",5,"[Verse 1]"
138,125,"ဝေးလှသော တောင်ကုန်းပေါ် ထူထားသော ကားတိုင်တော်ကျူး","The Old Rugged Cross","Georg Bannard","ကားတိုင်တော်","ဟေ၊ ၁၂း၂","files/hymn-138.pdf","files/hymn-138.pptx",5,"[Verse 1]"
139,126,"ကျွန်ုပ်တို့အလယ်၌ ယေရှုရပ်နေတော်မူခြင်းကျူး","Amidst us our beloved stands","H. K. Oliver (1800s)","ကားတိုင်တော်","N/A","files/hymn-139.pdf","files/hymn-139.pptx",5,"[Verse 1]"
140,127,"ကျေးဇူးကျူး","N/A","William B. Bradbury (1816-1868)","ဝေဒနာတော်ခံခြင်း","N/A","files/hymn-140.pdf","files/hymn-140.pptx",5,"[Verse 1]"
141,128,"နှလုံးကြေကွဲကျူး","Hearts of stone, relent, relent","N/A","ဝေဒနာတော်ခံခြင်း","ဟေ၊ ၆း၆","files/hymn-141.pdf","files/hymn-141.pptx",3,"[Verse 1]
ကျောက်နှလုံးကြေကွဲ ကြေကွဲ ရှင်ယေရှုလက်ဝါးကပ်ကြည့်၊
ခေါင်းတော်ပေါက် နံပါးတော်ပြဲ၊ ကိုယ်တော်လုံး အသွေးလူး၏၊
ပြစ်ရှိသူဘာပြုမည်နည်း၊ သားတော်ရှင် သင်သတ်ခဲ့ပြီ။

[Verse 2]
မှန်ပေ၏၊ ငါတို့အပြစ် သံချွန်များ ရိုက်ထားသတည်း၊
ဆူးနှင့်ခေါင်းတော်ကို ပတ်ရစ်၊ နံတော်လှံနှင့် ထိုးဖောက်၏၊
ပြစ်ရှိသူမျိုးမျိုးအတွက်၊ ယဇ်ပူဇော် ကိုယ်တော်အသက်။

[Verse 3]
ထပ်မံပြအောင် အားထုတ်လျှင် ဒဏ်ရာတော်အသစ် ပွင့်သော်၊
သွေးတော်မြတ်ပယ်ရှားကျော်နင်း၊ ကိုယ်တော်ကို သတ်ဉီးမည်လော၊
အိုမဟုတ် ငါနောင်တရ၊ ကျေးဇူးရှင် လက်ခံသနား။"
142,129,"ကျေးဇူးတော်ကျူး","N/A","Thomas Hastings (1784-1872)","ဝေဒနာတော်ခံခြင်း","လု၊ ၂၂း၁၉","files/hymn-142.pdf","files/hymn-142.pptx",4,"[Verse 1]"
143,130,"ကိုယ်တော်ကို ဘယ်လောက် ချစ်လိမ့်ကျူး","Oh How you will love Him","N/A","ဝေဒနာတော်ခံခြင်း","၁ ယော၊ ၂း၁-၆","files/hymn-143.pdf","files/hymn-143.pptx",5,"[Verse 1]"
144,131,"ချစ်ခြင်းကျူး","Wonderful Love","W. G. Fischer (1835-1912)","ဝေဒနာတော်ခံခြင်း","N/A","files/hymn-144.pdf","files/hymn-144.pptx",5,"[Verse 1]"
145,132,"မေတ္တာတော်ကျူး","O Sacred Head now wounded","Hans L. Hassler (1564-1612)","ဝေဒနာတော်ခံခြင်း","မာ၊ ၁၅း၁၇","files/hymn-145.pdf","files/hymn-145.pptx",5,"[Verse 1]"
146,133,"မြို့တော်ရိုးပြင်၊ တောင်စိမ်းပေါ်တွင်ကျူး","There is a green hill far away","George C. Stebbins","ဝေဒနာတော်ခံခြင်း","၁ ယော၊ ၄း၁၁","files/hymn-146.pdf","files/hymn-146.pptx",5,"[Verse 1]"
147,134,"ထမြောက်တော်မူခြင်းကျူး","Jesus Christ is risen today","N/A","ထမြောက်တော်မူခြင်း","၁ ကော၊ ၁၅း၂၀","files/hymn-147.pdf","files/hymn-147.pptx",3,"[Verse 1]"
148,135,"ဟာလေလုယ ထမြောက်ပြီကျူး","Halleluiah, He is Risen!","Philip P. Blis (1838-1876)","ထမြောက်တော်မူခြင်း","N/A","files/hymn-148.pdf","files/hymn-148.pptx",3,"[Verse 1]"
149,136,"ခရစ်တော်ထမြောက်ပြီကျူး","Christ is risen","Robert Lowry (1826-1899)","ထမြောက်တော်မူခြင်း","N/A","files/hymn-149.pdf","files/hymn-149.pptx",4,"[Verse 1]"
150,137,"နားထောင် စောင်းတသောင်းနှင့် ကျူးသံ","Hark, ten thousand harps and voices","Lowell Mason (1792-1872)","ထမြောက်တော်မူခြင်း","ဟေ၊ ၁း၉","files/hymn-150.pdf","files/hymn-150.pptx",5,"[Verse 1]"
151,138,"ထမြောက်တော်မူခြင်းကျူး","N/A","Lowell Mason (1792-1872)","ထမြောက်တော်မူခြင်း","N/A","files/hymn-151.pdf","files/hymn-151.pptx",2,"[Verse 1]"
152,139,"အသက်တော်စွန့်ကျူး","N/A","N/A","ထမြောက်တော်မူခြင်း","ရော၊ ၁၄း၉","files/hymn-152.pdf","files/hymn-152.pptx",3,"[Verse 1]"
153,140,"သရဖူတင်ကျူး","Look, ye saints","John Hughes","ထမြောက်တော်မူခြင်း","ဆာ၊ ၈း၅","files/hymn-153.pdf","files/hymn-153.pptx",4,"[Verse 1]"
154,141,"ကယ်ဖိုရှာကျူး","Seeking to save","Philip P. Bliss (1838-1876)","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-154.pdf","files/hymn-154.pptx",4,"[Verse 1]"
155,142,"ယေရှုထံချဉ်းကပ်","Come to the Saviour make no delay","George F. Root (1820-1895)","ခေါ်ဖိတ်တော်မူခြင်း","ဆာ၊ ၆၆း၁","files/hymn-155.pdf","files/hymn-155.pptx",4,"[Verse 1]"
156,143,"လောက၏ အလင်းကျူး","The Light of the World","Philip P. Bliss (1838-1876)","ခေါ်ဖိတ်တော်မူခြင်း","ယော၊ ၁၂း၄၆","files/hymn-156.pdf","files/hymn-156.pptx",5,"[Verse 1]"
157,144,"တံခါးနားရပ်ကျူး","Amazing sight the Saviour stands","N/A","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-157.pdf","files/hymn-157.pptx",4,"[Verse 1]"
158,145,"ယေရှုအားလုံး ကယ်တင်ရှင်ကျူး","Jesus Saviour of All","N/A","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-158.pdf","files/hymn-158.pptx",4,"[Verse 1]
ယေရှု ကောင်းကင် ကိုစွန့်ခွာ ပြစ်ရှိ သူဖို့ သေရန်လာ၊
ချစ်မေတ္တာ ကြောင့် လွန် မသွား၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊
ချစ်မေတ္တာကြောင့် လွန်မသွား၊ ငါ့လို သူငယ်ကို။

[Verse 2]
အမိ များ တို့ ပြု သင့် ရာ၊ ကိုယ်တော် သွန်သင် နေ ရပ် မှာ။
သားငယ် များ ကို ယူဆောင်လာ။ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊
သူငယ်များကို ယူဆောင်လာ၊ ငါ့လို သူငယ်ကို။

[Verse 3]
သူတို့ကို ငြင်း ပယ် သလား၊ မဟုတ်၊ ကိုယ်တော် ခေါ် ၍ ထား။
ထံတော်လာ ရန် ဆီး မလာ။ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊
ထံတော်လာရန် ဆီးမတား၊ ငါ့လို သူငယ်ကို။

[Verse 4]
ကိုယ်တော် မြတ် ကို ချစ် ကြ လေ၊ အလို တော် လည်း လိုက်ကြချေ။
ချီး မွမ်း ဆုတောင်းခြင်းပြုနေ၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊ ငါ့လို သူငယ်ကို၊
ချီးမွမ်းဆုတောင်းခြင်းပြုနေ၊ ငါ့လို သူငယ်ကို။"
159,146,"ချထားပါကျူး","Lay it down","William H. Doane","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-159.pdf","files/hymn-159.pptx",5,"[Verse 1]"
160,147,"တံခါးခေါက်ခြင်းကျူး","Behold a stranger at the door","John E. Gould (1822-1875)","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-160.pdf","files/hymn-160.pptx",4,"[Verse 1]"
161,148,"သတိပေးကျူး","N/A","N/A","ခေါ်ဖိတ်တော်မူခြင်း","ယော၊ ၁း၁၂","files/hymn-161.pdf","files/hymn-161.pptx",5,"[Verse 1]"
162,150,"ခေါ်ဖိတ်တော်မူခြင်းကျူး","O turn ye, O turn ye","Josiah Hopkins","ခေါ်ဖိတ်တော်မူခြင်း","ဆာ၊ ၂၂း၂၇","files/hymn-162.pdf","files/hymn-162.pptx",4,"[Verse 1]"
163,151,"ယေရှုကို ကြည့်ပါကျူး","Look away to Jesus","Philip P. Bliss (1838-1876)","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-163.pdf","files/hymn-163.pptx",4,"[Verse 1]"
164,152,"ကယ်တင်ရာလမ်းကျူး","Composer:","N/A","ခေါ်ဖိတ်တော်မူခြင်း","ဆာ၊ ၅၅း၂၂","files/hymn-164.pdf","files/hymn-164.pptx",4,"[Verse 1]"
165,153,"အားပေးကျူး","Come humble sinner, in whose breast","Robert Simpson (1790-1832)","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-165.pdf","files/hymn-165.pptx",6,"[Verse 1]"
166,154,"ယေရှုဘို့ သင်၌ နေရာအခန်းရှိသလားကျူး","Have you any room for Jesus?","N/A","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-166.pdf","files/hymn-166.pptx",5,"[Verse 1]"
167,155,"ငါအမှန်ဆိုသည်ကားကျူး","Verily Verily","J. Mc. Granaham","ခေါ်ဖိတ်တော်မူခြင်း","ယော၊ ၆း၄၇","files/hymn-167.pdf","files/hymn-167.pptx",5,"[Verse 1]"
168,156,"သင်သည် အားလျော့မေပန်းသလောကျူး","Art thou weary, art thou languish?","Henry W. Baker (1821-1877)","ခေါ်ဖိတ်တော်မူခြင်း","ဟေရှာ၊ ၂၈း၁၂","files/hymn-168.pdf","files/hymn-168.pptx",6,"[Verse 1]"
169,157,"လာလိုသူတိုင်း လာနိုင်ခြင်းကျူး","Whosoever will!","Philip P. Bliss (1838-1876)","ခေါ်ဖိတ်တော်မူခြင်း","ဗျာ၊ ၂၂း၁၇","files/hymn-169.pdf","files/hymn-169.pptx",4,"[Verse 1]"
170,158,"ယုံကြည်ပါကျူး","Only trust Him","John H. Stockton (1813-1877)","ခေါ်ဖိတ်တော်မူခြင်း","မ၊ ၁၁း၂၉","files/hymn-170.pdf","files/hymn-170.pptx",5,"[Verse 1]"
171,159,"ကယ်တင်ပိုင်ရှင် ဝင်ပါကျူး","Let the saviour in","Edwin D. Excell","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-171.pdf","files/hymn-171.pptx",4,"[Verse 1]"
172,160,"ယေရှုထံသို့လာပါကျူး","Come to Jesus","N/A","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-172.pdf","files/hymn-172.pptx",6,"[Verse 1]"
173,161,"ကောင်းကင်ကျူး","Pilgrims","Henry Smart (1813-1879)","ခေါ်ဖိတ်တော်မူခြင်း","N/A","files/hymn-173.pdf","files/hymn-173.pptx",6,"[Verse 1]"
174,162,"ယေရှုထံသို့လာလျှင်ကျူး","If I come to Jesus","N/A","ခေါ်ဖိတ်တော်မူခြင်း","မာ၊ ၁ဝး၁၄","files/hymn-174.pdf","files/hymn-174.pptx",5,"[Verse 1]"
175,163,"လင်းရောင်းခြည်ကို လိုက်ကျူး","Follow the Gleam","Sallie Hume","ခရစ်တော်လက်ခံခြင်း","ဆာ၊ ၅၆း၁၃","files/hymn-175.pdf","files/hymn-175.pptx",2,"[Verse 1]"
176,164,"ကိုယ်တော်အလိုအတိုင်းကျူး","My Jesus as Thou Wilt","N/A","ခရစ်တော်လက်ခံခြင်း","မ၊ ၂၆း၃၉","files/hymn-176.pdf","files/hymn-176.pptx",3,"[Verse 1]"
177,165,"သက်တာမုန်တိုင်းလှိုင်းထစဉ်ခါကျူး","Jesus calls us, o’er the tumult","William H. Jude","ခရစ်တော်လက်ခံခြင်း","မ၊ ၄း၁၉","files/hymn-177.pdf","files/hymn-177.pptx",4,"[Verse 1]"
178,166,"ယေရှုရှင် ငါ့ကိုပင်ကျူး","Christ for me","N/A","ခရစ်တော်လက်ခံခြင်း","ဆာ၊ ၁၃း၆","files/hymn-178.pdf","files/hymn-178.pptx",5,"[Verse 1]"
179,167,"မြဲတည်ကျောက်ကျူး","Rock of Ages, Cleft for me","Thomas Hastings (1784-1872)","ခရစ်တော်လက်ခံခြင်း","ဟေရှာ ၂၆း၄","files/hymn-179.pdf","files/hymn-179.pptx",3,"[Verse 1]"
180,168,"ယေရှုကြောင့်မရှက်ကြောက်ကျူး","I’m not ashamed to own my Lord","Thomas A. Ame (1710-1895)","ခရစ်တော်လက်ခံခြင်း","၂ တိ၊ ၁း၂","files/hymn-180.pdf","files/hymn-180.pptx",4,"[Verse 1]"
181,169,"ငါသည် အသက်ရှင်ရာကျူး","For me to live is Christ","George R. Root","ခရစ်တော်လက်ခံခြင်း","N/A","files/hymn-181.pdf","files/hymn-181.pptx",7,"[Verse 1]
ငါသည် အသက်ရှင်ရာ၊ ခရစ်တော်ပင်ဖြစ်၏။
သေလျှင်မူကား၊ အကျိုးချမ်းသာ သာ၍ထူးမြတ်အံ့တည်း။

[Verse 2]
သခင်ဘုရားအတွက် လက်ဝါးကပ်တိုင်တော်ကို၊
ငါအားရသော စိတ်နှင့်ထမ်းလျက် ဒုက္ခခံမည် မျိုးမျိုး။

[Verse 3]
ငါအာဂန္တုဖြစ်သည်၊ ညတိုင်းစခန်းချလျှင်၊
တနေ့တခြား ထက်ကောင်းကင်နီး၊ ယာယီပျက်ဖို့ မျှော်လင့်။

[Verse 4]
သခင်ဘုရားအတူ၊ သမ္မာလမ်းကြောင်းလျှောက်မည်၊
ကိုယ်တော်အတူ ဆင်းရဲခံသူ၊ အဆုံး၌ အောင်မြင်သည်။

[Verse 5]
တောင်ထိပ်ပေါ်အရှဏ်တက်၊ အဝေးကမြင်ရသည်၊
ဤလောကမှောင်မိုက်ကွယ်ပျောက်လျက်၊ မိုးသောက်လင်းစရှိပြီ။

[Verse 6]
တောင်ဝှေးချထားဖို့ရာ၊ အချိန်ရောက်လုနီးပြီ၊
အနတ္တဖြင့် မမြှုနိုင်ပါ၊ သရဖူဆောင်းတော့မည်။

[Verse 7]
အဆုံးတိုင် တည်ကြည်သော်၊ သာဓု၊ ငယ်သားငါ့ထံ၊
လာလော့ မိန့်တော်မူသော သံကို ငါကြားဖို့ နီးလေအံ့။"
182,170,"ကျွန်ုပ်သည် မိတ်ဆွေတွေ့ပြီကျူး","I’ve found a friend","George C. Stebbins","ခရစ်တော်လက်ခံခြင်း","သု၊ ၁၈း၂၄","files/hymn-182.pdf","files/hymn-182.pptx",4,"[Verse 1]"
183,171,"သာ၍နီးအံ့ငှာ ဆွဲတော်မူပါကျူး","Draw me nearer","William H. Doane (1823-1915)","ခရစ်တော်လက်ခံခြင်း","ဟေ၊ ၁ဝး၂၂","files/hymn-183.pdf","files/hymn-183.pptx",5,"[Verse 1]"
184,172,"ကယ်ချွတ်ရှင်ကြီး ဆင်းသက်ပါကျူး","Come Great Deliverer, Come!","William H. Doane (1823-1915)","ခရစ်တော်လက်ခံခြင်း","N/A","files/hymn-184.pdf","files/hymn-184.pptx",5,"[Verse 1]"
